"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N48JSB6M","book","1997","","Verfassungsschutzbericht 1996","","ISSN 0177-0357","","","","","1997","2017-03-28 15:05:05","2017-03-28 15:05:05","","","","","","","","","Verfassungsschutzberichte des Bundesministerium","","","","","Bonn","","","","","","","(G)/A-I/1 vorl.","F1","","","","","","","Bundesministerium des Innern, Bonn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQR7CGQZ","book","2001","","Verfassungsschutzbericht 2000","","","","","","","2001","2017-03-28 15:05:08","2017-03-28 15:05:08","","","","","","","","","Verfassungsschutzberichte des Landesamts Hamburg","","","","","","","","","","","","(G)/A-I/1 vorl.","F1","","","","","","","Freie und Hansestadt Hamburg, Behörde für Inneres, Landesamt für Verfassungsschutz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FG8IDACZ","book","2000","","Rechtsextremismus und Antifaschismus: historische und aktuelle Dimensionen","","978-3-320-02015-6","","","","Das Buch untersucht eines der aktuellsten gesellschaftlichen Probleme in Deutschland - den Rechtsextremismus. Norbert Madloch, ein anerkannter Extremismusforscher, zeichnet die Entwicklung des Rechtsextremismus in Ostdeutschland und in der DDR von 1945 bis 1990 und parallel dazu in der Bundesrepublik nach. Danach verfolgt er die Wege der extremen Rechten ab 1990 im vereinten Deutschland. Er bietet dem Leser einen Begriffsapparat und Originales aus DDRArchiven. Der rechte Extremismus wird als ein Produkt der modernen Gesellschaft aufgefasst, mit historischen Vorund aktuellen Leitbildern, anpassungsfähig, wandlungsbereit, die Widersprüche und Defizite der Gesellschaft nutzend. Weiterhin untersucht das Buch historische und aktuelle Dimensionen des Antifaschismus. Dabei wird seine humanistische Kraft in der Geschichte aufgezeigt, seine Deformierung durch den Stalinismus bewusst gemacht und versucht, ihn historisch-konkret zu verorten. Die Autoren erblicken in einem intensiven, langzeitlichen Ringen um vielgestaltige Bündnisse gegen die extreme Rechte eine erstrebenswerte und realistische Aufgabe.","2000","2017-03-28 15:05:15","2017-03-28 15:05:15","","","295","","","","","Rechtsextremismus und Antifaschismus","Schriften / Rosa-Luxemburg-Stiftung","5","","","Dietz","Berlin","","","","","","","(G)/J-R/1 vorl.","F1","","","","","Radicalism; Right wing-extremists; Anti-fascist movements; Political violence; Germany","Kinner, Klaus; Richter, Rolf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47DR6PV8","book","2015","Klarsfeld, Beate; Klarsfeld, Serge; Klarsfeld, Arno; Piper Verlag","Erinnerungen","","978-3-492-05707-3","","","","Nazi! Nazi! Mit diesem Ruf stürmt Beate Klarsfeld am 7. November 1968 auf dem Bundesparteitag der CDU den Vorstandstisch und ohrfeigt den Bundeskanzler Kurt Georg Kiesinger. Kiesinger war 1933 in die NSDAP eingetreten und hatte während des Zweiten Weltkriegs in der Rundfunkpolitischen Abteilung des Auswärtigen Amtes gearbeitet. Die Ohrfeige ist der Startschuss für die Lebensaufgabe von Beate Klarsfeld und ihrem Mann Serge: als passionierte Nazijäger verfolgen die Klarsfelds die Schreibtischtäter und die Schlächter des Holocaust – in Deutschland, wo sie straffrei leben, im Nahen Osten und in Südamerika, wohin viele geflohen sind. Sie entreißen ihre Opfer dem Vergessen, veröffentlichen ihre Bilder und Namen. Die Erinnerungen des Paares sind Zeugnis ihres lebenslangen Kampfes für die Rechte der Opfer und zugleich bewegendes Dokument einer großen Liebe.","2015","2017-03-28 15:05:20","2017-03-28 15:05:20","","","623","","","","","","","","","","Piper","München ;Berlin ;Zürich","","","","","","","(G)/J-R/1 vorl.","Neu","","","","","Klarsfeld, Beate; Klarsfeld, Serge","","","Schade, Anna","Piper Verlag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBW2GW99","book","1988","Koch, Günter","Als Mutprobe, Mord: über neofaschistische Bewegungen in kapitalistischen Ländern","","978-3-327-00524-8","","","","","1988","2017-03-28 15:05:23","2017-03-28 15:05:23","","","223","","","","","Als Mutprobe, Mord","","","","","Militärverlag der Deutschen Demokratischen Republik","Berlin","","","","","","","(G)/J-R/1 vorl.","F1","","","","","Europe; Politics and government; Germany (West); United States; Fascism; Ethnic relations; 1945-1989; 1945-","","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3D7XHRU","book","1993","Langer, Hermann","Flächenbrand von Rechts: zum Rechtsextremismus im Bundesland Mecklenburg-Vorpommern","","978-3-929544-04-6","","","","Der Autor ist Kenner der rechten Szene in Mecklenburg-Vorpommern. Auf der Grundlage einer akribischen Recherche untersucht er Ursachen, Wirkungen und Hintergründe rechtsextremistischer Gewalttaten im nördlichsten neuen Bundesland. Der Blick reicht von einer Analyse versäumter Lektionen in der DDR über das Entstehen neuer Gefahren von rechts unmittelbar nach der Wende bis zur Gegenwart. Dabei werden die Verantwortlichen rechtsextremer Parteien ebenso benannt wie die Unterlassungen und Fehler der offiziellen Politik bei der Abwendung neuer rechtsextremistischer Ausschreitungen. Das Buch enthält eine Chronik der Gewalt in Mecklenburg-Vorpommern sowie eine Dokumentation.","1993","2017-03-28 15:05:27","2017-03-28 15:05:27","","","88","","","","","Flächenbrand von Rechts","","","","","Verlag Jugend und Geschichte","Rostock","","","","","","","(G)/J-R/1 vorl.","F1","","","","","Politics and government; Germany Mecklenburg-Vorpommern; Fascism; 20th century; History; Mecklenburg-Vorpommern (Germany); Conservatism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7MQKV72","book","2012","Lausberg, Michael","Die extreme Rechte in Ostdeutschland 1990-1998","","978-3-8288-2895-7","","","","Michael Lausbergs informative Überblicksdarstellung widmet sich einer der schlimmsten Begleiterscheinungen der „Wiedervereinigung“: dem nicht ganz neuen aggressiven Rassismus, wie er sich nach 1990 nicht nur in der Bundesrepublik, sondern vor allem in den neuen Bundesländern herauskristalliserte. Übergriffe auf Migranten, Linke, Juden, Sinti und Roma, Homosexuelle, Obdachlose, behinderte Menschen, gegen alle, die anders aussahen, dachten oder lebten, gehörten zum Alltag in Ostdeutschland. Mit dem SED-Regime verschwand das Phantom des proletarischen Internationalismus, das mehr als 40 Jahre den Nationalismus und den Rassismus vieler DDR-Bürger nur notwendig übertüncht hatte. Spätestens nach der „Wiedervereinigung“ entwickelte sich in allen größeren und mittleren Städten eine neonazistische Szene, die ausgezeichnet miteinander vernetzt war. Der rassistische Terror forderte schon bald sein erstes Todesopfer: der Mosambikaner Amadeu Antonio wurde am 24.11.1990 im brandenburgischen Eberswalde von Neonazis ermordet.","2012","2017-03-28 15:05:31","2017-03-28 15:05:31","","","144","","","","","","","","","","Tectum","Marburg","","","","","","","(G)/J-R/1 vorl.","Neu","","","","","Radicalism; Right-wing extremists; Fascism; History; Germany (East)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDQWDWBF","book","1993","","Blickpunkt Rechtsextremismus. Dokumentation. Rechtsextremistische Strukturen 1991/1992 in den neuen Bundesländern","","","","","","","1993","2017-03-28 15:05:34","2017-03-28 15:05:34","","","","","","","","","","","","","","","","","","","","","(G)/J-R/1 vorl.","F1","","","","","","PDS/Linke Liste im Bundestag, Arbeitsgruppe ""Asyl- und AusländerInnenpolitik""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3K2Q4PG","book","","Peter Krüger","Thomas K. (22) - Portrait eines DDR-Neonazis. Über die sich etablierende Neonazi-Bewegung in der ehemaligen DDR - eine zweijährige Beobachtung.","","","","","","","","2017-03-28 15:05:37","2017-03-28 15:05:37","","","","","","","","","","","","","","","","","","","","","(G)/J-R/1 vorl.","F1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78HC4AKD","book","1990","Prenzel, Monika; Institut für Internationale Politik und Wirtschaft der DDR","Im Rechtsschritt, marsch!: neofaschistische Tendenzen auf deutschem Boden","","978-3-320-01545-9","","","","Sie nennen sich REP, DVU, NPD, FAP ... Skinheads. Sie sind auf dem Vormarsch - über Grenzen hinweg. Sie rufen ""Ausländer raus!"" und ""Deutschland über alles!"". Sie ""klatschen Nigger und rote Punks auf"". Wer sind sie? Woher kommen sie? Was wollen sie? Viele Fragen - und der Versuch einer Antwort.","1990","2017-03-28 15:05:40","2017-03-28 15:05:40","","","80","","","","","Im Rechtsschritt, marsch!","","","","","Dietz","Berlin","","","","","","","(G)/J-R/1 vorl.","F1","","","","","Politics and government; Germany (West); 1982-1990; Fascism; Germany (East)","","","","Institut für Internationale Politik und Wirtschaft der DDR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FIJBCCP4","book","2001","Rensmann, Lars","Kritische Theorie über den Antisemitismus: Studien zu Struktur, Erklärungspotential und Aktualität","","978-3-88619-642-5","","","","","2001","2017-03-28 15:05:44","2017-03-28 15:05:44","","","365","","","","","Kritische Theorie über den Antisemitismus","Argument Classics","","","","Argument-Verl","Berlin ;Hamburg","ger","","","","","","(G)/J-R/1 vorl.","Neu","","","","","Deutschland; Antisemitism; Kritische Theorie; 9.2a;4.2;9.3e;9.1c/XA-DE; Antisemitismus","","","","","","","","","","","","","","","","","","","","3., überarb. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2RVMEMW","book","2014","Reuter, Frank","Der Bann des Fremden: die fotografische Konstruktion des ""Zigeuners""","","978-3-8353-1578-5","","","","Die erste systematische Untersuchung zur Rolle der Fotografie bei der Ausformung stereotyper »Zigeuner«-Bilder. Wer Fotos von »Zigeunern« betrachtet, knüpft an ein kollektiv geteiltes, vermeintliches Wissen an: Eine jahrhundertealte Ikonografie des »Fremden« macht den »Zigeuner« zur Projektionsfläche für Überlegenheitsfantasien und Angstbilder, aber auch für erotische und exotische Sehnsüchte. Frank Reuter zeichnet die Genese des fotografischen »Zigeuner«-Bildes nach und macht Verbindungslinien zur Kunst und Literatur sichtbar. Dabei nimmt er ganz unterschiedliche Medien und Formate in den Blick: vom Schulbuch bis zur Bildpostkarte, vom populären Magazin über das Propagandafoto bis zum privaten Schnappschuss von der Front. Der Autor untersucht an exemplarischen Bildbeispielen die Stigmatisierungsmuster, die dem Konstrukt »Zigeuner« zugrunde liegen und die bis heute wirksam sind. Dabei geht es immer auch um die konkrete Verwendung der Fotografien und um ihre gesellschaftlichen Funktionen. Einen Schwerpunkt bildet die »Zigeuner«-Fotografie im Nationalsozialismus, deren Wurzeln Reuter in der ethnologischen, kriminologischen und anthropologischen Fotografie des 19. und frühen 20. Jahrhunderts freilegt.","2014","2017-03-28 15:05:48","2017-03-28 15:05:48","","","568","","","","","Der Bann des Fremden","","","","","Wallstein Verlag","Göttingen","","","","","","","(G)/J-R/1 vorl.","Neu","","","","","Xenophobia; Germany; Romanies in popular culture; Romanies; Pictorial works; Stereotypes (Social psychology); Nazi persection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SB53JJT2","book","2002","Schmidt, Jochen","Politische Brandstiftung: warum 1992 in Rostock das Asylbewerberheim in Flammen aufging","","978-3-360-01040-7","","","","Jochen Schmidt gehörte zum ZDF-Team, das damals mit etwa 120 Vietnamesen in einem brennenden Haus eingeschlossen war. Rechtsextremisten und Ausländerfeinde hatten es unter dem Beifall der Umstehenden angezündet. Wer zog damals die Fäden? Der Autor hat jahrelang recherchiert und Material entdeckt, das belegt: Politiker in Bonn, Schwerin und Rostock wollten ein Fanal. Und sie legten geschickt die Brand-Sätze.","2002","2017-03-28 15:06:03","2017-03-28 15:06:03","","","219","","","","","Politische Brandstiftung","","","","","Edition Ost","Berlin","","","","","","Library of Congress ISBN","(G)S-vorl","Neu / Dauerleihgabe Martin","","","","","Neo-Nazis; Vietnamese; Rostock (Germany); Crimes against; Ethnic relations; Germany Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B259TX5G","book","2015","","Nach der Migration: postmigrantische Perspektiven jenseits der Parallelgesellschaft","","978-3-8376-2504-2","","","","Durch Migration entstehen vielfältige Formen der Mobilität, die verschiedene Orte, Lebensweisen und Visionen miteinander verbinden. Menschen, die migrieren, schaffen Räume, die sich sowohl von denen unterscheiden, die sie verlassen haben, als auch von jenen, die neu bezogen wurden. So werden Strukturen, Kulturen und Kommunikationsformen erschaffen, die ohne Impulse durch Migration kaum denkbar wären. Die Lebenspraxis zeigt, dass Menschen mehrere Heimaten und Zugehörigkeiten haben, diverse kulturelle und soziale Netzwerke schaffen können und dass sie mit negativen Zuschreibungen von außen kreativ und subversiv umzugehen wissen. Auf diese Weise entwickeln sich postmigrantische, mehrheimische, hybride und transkulturelle Alltagspraktiken, die bisher kaum gewürdigt worden sind. Die Beiträge dieses Bandes verstehen sich daher als Plädoyer für eine andere Sicht der Dinge und als Absage an das vorauseilende Misstrauen, mit dem migrationsbedingten Phänomenen häufig begegnet wird. Dieser Reader enthält Beiträge u.a. von Wolf-Dietrich Bukow, Sabine Hess, Regina Römhild und Mark Terkessidis.","2015","2017-03-28 15:06:07","2017-03-28 15:06:07","","","295","","","","","Nach der Migration","Kultur & Konflikt","Band 6","","","Transcript","Bielefeld","","","","","","","(G)/S-Z/1 vorl.","Neu","","","","","Ethnicity; Globalization; Emigration and immigration; Transnationalism; Sociology, Urban","Bukow, Wolf-Dietrich; Yildiz, Erol; Hill, Marc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRJ94VUT","book","2015","Roman Fröhlich","Die Geschichte der „historischen Persönlichkeit“ Ernst Heinkel, sein Unternehmen und die Stadt Rostock im Nationalsozialismus und seine Aufarbeitung. Eine Bestandsaufnahme.","","","","","","","2015","2017-03-28 15:06:11","2017-03-28 15:06:11","","","59","","","","","","","","","","","Duisburg / Essen","","","","","","","(G)/S-Z/1 vorl.","Neu","","","","","","Sozial.Geschichte online / Social History online (2015), 15.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
