"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7TMMUM36","book","1993","Landtag Mecklenburg-Vorpommern","Beschlussempfehlung und Abschlussbericht des 2. Untersuchungsausschusses nach Artikel 34 der vorläufigen Verfassung des Landes Mecklenburg-Vorpommern und dem vorläufigen Untersuchungsausschußgesetz","","","","","http://www.dokumentation.landtag-mv.de/Parldok/dokument/9359/einsetzung-eines-parlamentarischen-untersuchungsausschusses-zur-kl%C3%A4rung-von-sachverhalten-im-zusammenhang-mit-den-rostocker-krawallen.pdf","","1993-11-04","2016-07-07 13:07:51","2018-06-21 02:57:07","","","","","","","","","Drucksache 1/3771","","","","","","","5","","","III-B1-1","","III-B1-1-004","PDF","","/home/age/zotero/storage/2M8N55CA/einsetzung-eines-parlamentarischen-untersuchungsausschusses-zur-klärung-von-sachverhalten-im-zusammenhang-mit-den-rostocker-krawallen.pdf","","Rostock-Lichtenhagen; Schwerin; ZAST; Landtag Mecklenburg-Vorpommern; ZAST Rostock; 1993-11-04; 1Kopie; Brandt, Christoph; Caffier, Lorenz; Drucksache 1/3771; Parlamentarischer Untersuchungsausschuss; Wolf, Stefanie; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUF9G6V8","manuscript","1992","Föderation der demokratischen Arbeitervereine aus der Türkei in der BRD e.V. (DIDF)","Wie lange noch ...?","","","","","","","1992-08","2016-08-01 11:17:00","2018-06-21 00:09:32","","","","","","","","","","","","","","Duisburg","","1","","","II-C2-1","","II-C2-1-016","lediglich Digitalisat Provenienz: F4/Rostock 1992 II alte Signatur: II-C2-F4-13","","/home/age/zotero/storage/KTMRJASE/II-C2-F4-13.tif","","SPD; Aufruf; Engholm, Björn; CDU; Innenminister; Kupfer, Lothar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAJ4KW2D","book","1992","Unabhängiges Centrum für empirische Sozial-, Politik- und Kommunikationsforschung e.V.","UCEF-Report: Akzeptanz von Asylbewerbern in Rostock-Stadt. Ergebnisse einer empirischen Studie","","","","","","","1992","2016-07-08 11:42:38","2018-06-20 22:42:52","","","71","","","","","","Reihe A","1/1992","","","","Rostock","","2","","","II-A4-1","","II-A4-1-001","liegt händisch vor Provenienz: F1-1992 alte Signaturen: II-A4-F1-5","","/home/age/zotero/storage/QIWW8PC9/II-A4-F1-5.pdf","","Hamburg; Innenministerium Mecklenburg-Vorpommern; 1990-12-02; Ausländerbeauftragter des Senats Rostock; Harknett, Ian; Hermann, Britta; Politik; Richter, Karl-Otto; Rostocker Bürgertisch; Schmidtbauer, Bernhard; Senat Rostock; Studierende; Universität Rostock; 1Hand; 1Kopie; Rostock; Asylbewerber*innen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CT62NHMC","manuscript","1992","Alianca Antiracista","Hay que acabar con los pogromes","","","","","","","1992-08","2016-08-01 09:27:25","2018-06-20 23:59:37","","","2","","","","","","","","","","","o.A.","","1","Aufruf","","II-C2-1","","II-C2-1-002","lediglich Digitalisat Provenienz: F4/Rostock 1992 II alte Signatur: II-C2-F4-4","","/home/age/zotero/storage/4ZJAXJKD/II-C2-F4-4-1.tif; /home/age/zotero/storage/6D7HHHN9/II-C2-F4-4-2.tif","","1992-08-29; Aufruf; Flugblatt; Lichtenhagen; doppelt; spanisch; Kupfer, Lothar; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTMUC6QC","manuscript","1992","collectif d'actions anti-racistes","Arretez les pogromes! Des groupes anti-chistes independants appellent a une manifestation nationale anti-raciste a Rostock-Lichtenhagen","","","","","","","1992-08","2016-08-01 09:43:41","2018-06-21 00:06:08","","","2","","","","","","","","","","","o.A.","","1","","","II-C2-1","","II-C2-1-011","lediglich Digitalisat Provenienz: A4/Rostock 1992 II alte Signatur: II-C2-F4-6","","/home/age/zotero/storage/MVAAKZWW/II-C2-F4-6-1.tif; /home/age/zotero/storage/Z236B2JD/II-C2-F4-6-2.tif","","1992-08-29; Antirassistische Initiative e.V.; Aufruf; Flugblatt; Lichtenhagen; französisch; Kupfer, Lothar; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4XQ4EBQ","manuscript","1992","Antirassistisches Aktionsbündnis","Stoppt die Pogrome. Unabhängige antifaschistische Gruppen rufen auf zur bundesweiten antirrassistischen Demonstration in Rostock-Lichtenhagen.","","","","","","","1992-08","2016-05-09 13:34:16","2018-06-21 00:05:27","","","","","","","","","","","","","","o.A.","","1","Aufruf","","II-C2-1","","II-C2-1-010","lediglich Digitalisat Provenienz: F4/Rostock 1992 II alte Signatur: II-C2-F4-1","","/home/age/zotero/storage/N8FE3VNB/II-C2-F4-1.tif","","SPD; 1992-08-29; Antirassistische Initiative e.V.; Aufruf; Berlin; Flugblatt; Innenminister; Lichtenhagen; doppelt; Kupfer, Lothar; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMZIFK2F","manuscript","1992","Internationale Liga für Menschenrechte e.V.; Fédération Internationale des Droits de l'Homme/Paris","Aufruf","","","","","","","1992-08-26","2016-08-01 11:06:54","2018-06-21 00:31:31","","","","","","","","","","","","","","Berlin","","1","","","II-C2-1","","II-C2-1-036","lediglich Digitalisat Provenienz: A4/Rostock 1992 II alte Signatur: II-C2-F4-12","","/home/age/zotero/storage/RBCKIWFI/II-C2-F4-12.tif","","SPD; Fuss, Alisa; Aufruf; Europarat; Schweden; UNESCO; UNO; Werner; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G63ENZ8Q","film","2012","Christian Dzubiel; Soziale Bildung e.V.; Rostocker Offener Kanal rok-tv; Institut für neue Medien; Arbeiter Samariter Bund","CheckOut Lichtenhagen","","","","","https://www.youtube.com/watch?v=m7VjNqs8I90&list=PLOO6gq75NjkKn7vZkE4R8rnB0vWJsqrR1&index=6","","2012","2016-07-11 12:03:11","2019-01-16 09:56:04","","","","","","","","","","","","","","","","6","","","","","M-2","CC-BY-NC-ND","","/home/age/zotero/storage/BIB82FZQ/checkoutlh.pdf","","","","","","","Soziale Bildung e.V.; Rostocker Offener Kanal rok-tv; Institut für neue Medien; Arbeiter Samariter Bund","","","","","","","","","","","","","","","","","32:47 min","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKKGAT5S","manuscript","1992","Antifagruppen aus Rostock und Berlin","Stoppt die Pogrome. Unabhängige antifaschistische Gruppen rufen auf zur bundesweiten antirrassistischen Demonstration in Rostock-Lichtenhagen.","","","","","","","1992-08","2016-08-01 08:49:24","2018-06-21 00:00:35","","","","","","","","","","","","","","o.A.","","1","","","II-C2-1","","II-C2-1-004","lediglich Digialisat Provenienz: F4-Rostock 1992 II alte Signatur: II-C2-F4-2","","/home/age/zotero/storage/7678KEJ8/II-C2-F4-2.tif","","SPD; 1992-08-29; Aufruf; Berlin; Flugblatt; Innenminister; Lichtenhagen; Kupfer, Lothar; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICICPZKW","manuscript","1992","ImmigrantInnen und Flüchtlingsvereine in Berlin; Castro, F.","Hoyerswerda, Mannheim ... Saarlouis, Hünxe, Rostock. Es reicht!!!","","","","","","","1992-08","2016-08-01 11:22:45","2018-06-21 00:12:44","","","","","","","","","","","","","","Berlin","","1","","","II-C2-1","","II-C2-1-018","lediglich Digitalisat Provenienz: A4/Rostock 1992 II alte Signatur: II-C2-F4-14","","/home/age/zotero/storage/6WNHQ9GE/II-C2-F4-14.tif","","Aufruf; Hoyerswerda; Hünxe; Mannheim; Saarlouis; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9IXGJFM","manuscript","1992","Allgemeiner Studentinnenausschuß (AStA) Freie Universität Berlin","Wir rufen zur Demo am 29.08.1992 um 13:00 in Rostock gegen Rassismus und Faschismus auf.","","","","","","","1992-08-25","2016-08-01 10:52:32","2018-11-02 12:00:00","","","","","","","","","","","","","","Berlin","","1","Aufruf","","II-C4-2","","II-C4-2-002","liegt händisch vor Provenienz: F11/3,007a. Dublette: A4/Rostock 1992 II (Materialkiste) alte Signatur: II-C4-F4-10","","/home/age/zotero/storage/XUNERCJV/II-C4-F4-10.tif; /home/age/zotero/storage/IRM2QTI2/II-C4-F4-11.tif","","SPD; Amadeu, Antonio; Aufruf; Berlin; Bundesinnenminister; CDU; Worch, Christian; Eberswalde; Einsatzleiter; Innenminister; Presseerklärung; Zöllick, Wolfgang; Kordus, Siegfried; Kupfer, Lothar; Seiters, Rudolf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXPCNXRQ","manuscript","1992","Antiracist action coalition","Stop the Pogroms. Independent antifascist groups are calling for a national antiracist demonstration in Rostock-Lichtenhagen","","","","","","","1992-08","2016-08-01 09:32:31","2018-06-21 00:02:27","","","2","","","","","","","","","","","o. O.","","1","Aufruf","","II-C2-1","","II-C2-1-006","lediglich Digitalisat Provenienz: A4/Rostock 1992 II alte Signatur: II-C2-F4-5","","/home/age/zotero/storage/S595IUGH/II-C2-F4-5-1.tif; /home/age/zotero/storage/FBXZVT37/II-C2-F4-5-2.tif","","1992-08-29; Aufruf; Flugblatt; Lichtenhagen; doppelt; englisch; Kupfer, Lothar; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBPXRS4R","film","2013","Christian Dzubiel","„Lichtenhagen bewegt“ – Zeitzeugen erinnern sich","","","","","https://www.youtube.com/watch?v=Y_593Ymp8KM&list=PLOO6gq75NjkKn7vZkE4R8rnB0vWJsqrR1&index=2","Enthaltene Interviews: Dr. Wolfgang Richter, damaliger Ausländerbeauftragter der Hansestadt; Mai-Phuong Kollath, Mitarbeiterin beim deutsch-vietnamesischen Verein Diên Hông –Gemeinsam unter einem Dach e.V. 1994 – 2010; Thomas Laum, Leiter der Kriminalinspektion Rostock 1991 – 1997, heute Polizeipräsident des Präsidiums Rostock, sowie Ausschnitte aus dem Film ""The Truth Lies in Rostock""","2013","2016-07-11 11:51:47","2019-01-16 09:56:11","","","","","","","","","","","","","","","","6","","","","","M-2","CC-BY-NC-ND","","; ; ; /home/age/zotero/storage/344VRKT9/lichtenhagenbewegt.pdf","https://www.youtube.com/watch?v=5GdIwdFpEHA&index=4&list=PLOO6gq75NjkKn7vZkE4R8rnB0vWJsqrR1; https://www.youtube.com/watch?v=eDbl6mFxd08&index=5&list=PLOO6gq75NjkKn7vZkE4R8rnB0vWJsqrR1; https://www.youtube.com/watch?v=h3eMlPZNr9I&index=3&list=PLOO6gq75NjkKn7vZkE4R8rnB0vWJsqrR1","","","","","","","","","","","","","","","Heinrich Böll-Stiftung Mecklenburg-Vorpommern; Bunt statt Braun e.V.","","","","","","","","18:39 min","","","","","","","","","","","","","","","","","","","","","","","","",""
